date,home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,tournament,city,country,neutral_location,shoot_out,home_team_result,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score,home_sum,away_sum,year,home_win,home_draw,home_lose
2020.11.18,Greece,Slovenia,Europe,Europe,54,62,1408,1376,0,0,UEFA Nations League,Athens,Greece,FALSE,No,Draw,81,91,78.2,72.7,76.2,72,78.3,76.5,308.1,317.8,2020,FALSE,TRUE,FALSE
2020.11.18,Albania,Belarus,Europe,Europe,69,90,1345,1273,3,2,UEFA Nations League,Tirana,Albania,FALSE,No,Win,83,,75.5,68.7,70.2,,,,297.4,,2020,TRUE,FALSE,FALSE
2020.11.18,Kazakhstan,Lithuania,Europe,Europe,119,130,1153,1105,1,2,UEFA Nations League,Almaty,Kazakhstan,FALSE,No,Lose,,74,,,68.5,60,61.7,,68.5,195.7,2020,FALSE,FALSE,TRUE
2020.12.4,Qatar,Bangladesh,Asia,Asia,59,184,1387,920,5,0,FIFA World Cup qualification,Doha,Qatar,FALSE,No,Win,68,,68,74,72,,,,282,,2020,TRUE,FALSE,FALSE
2020.12.9,USA,El Salvador,North America,North America,22,70,1545,1346,6,0,Friendly,Fort Lauderdale,USA,FALSE,No,Win,77,,75,78,77,,,,307,,2020,TRUE,FALSE,FALSE
2021.1.12,United Arab Emirates,Iraq,Asia,Asia,74,69,1326,1347,0,0,Friendly,Dubai,United Arab Emirates,FALSE,No,Draw,71,,65.2,,68,,,,204.2,,2021,FALSE,TRUE,FALSE
2021.1.18,Kuwait,Palestine,Asia,Asia,148,102,1060,1204,0,1,Friendly,Kuwait City,Kuwait,FALSE,No,Lose,,,,,,,,,,,2021,FALSE,FALSE,TRUE
2021.1.19,Dominican Republic,Puerto Rico,North America,North America,159,179,1019,941,0,1,Friendly,Santo Domingo,Dominican Republic,FALSE,No,Lose,,,,,,,,,,,2021,FALSE,FALSE,TRUE
2021.1.22,Guatemala,Puerto Rico,North America,North America,131,179,1111,941,1,0,Friendly,Guatemala City,Guatemala,FALSE,No,Win,,,,,,,,,,,2021,TRUE,FALSE,FALSE
2021.1.25,Dominican Republic,Serbia,North America,Europe,159,30,1019,1495,0,0,Friendly,Santo Domingo,Dominican Republic,FALSE,No,Draw,,73,,,,72,81,80,,306,2021,FALSE,TRUE,FALSE
2021.1.27,Iraq,Kuwait,Asia,Asia,69,148,1347,1060,2,1,Friendly,Basra,Iraq,FALSE,No,Win,,,,,,,,,,,2021,TRUE,FALSE,FALSE
2021.1.28,Panama,Serbia,North America,Europe,78,30,1311,1495,0,0,Friendly,Panama City,Panama,FALSE,No,Draw,76,73,68,,66,72,81,80,210,306,2021,FALSE,TRUE,FALSE
2021.1.31,USA,Trinidad and Tobago,North America,South America,22,103,1545,1201,7,0,Friendly,Orlando,USA,FALSE,No,Win,77,52,75,78,77,,,,307,52,2021,TRUE,FALSE,FALSE
2021.2.1,Jordan,Tajikistan,Asia,Asia,95,121,1244,1143,2,0,Friendly,Dubai,United Arab Emirates,TRUE,No,Win,,,,,,,,,,,2021,TRUE,FALSE,FALSE
